0.0000,-32.0333,-140.1000,1
1.4648,-32.0333,-140.1000,1
2.9297,-32.0333,-140.1000,1
4.3945,-32.0333,-140.1000,1
5.8594,-32.0333,-140.1000,1
7.3242,-32.0333,-140.1000,1
8.7891,-32.0333,-140.1000,1
10.2540,-32.0333,-140.1000,1
11.7190,-32.0333,-140.1000,1
13.1840,-32.0333,-140.1000,1
14.6480,-32.0333,-140.1000,1
16.1130,-32.0333,-140.1000,1
17.5780,-32.0333,-140.1000,1
19.0430,-32.0333,-140.1000,1
20.5080,-32.0333,-140.1000,1
21.9730,-32.0333,-140.1000,1
23.4380,-29.7423,93.3160,1
24.9020,-30.0371,101.6288,1
26.3670,-33.5843,155.1020,1
27.8320,-38.9453,115.0310,1
29.2970,-28.6551,97.9525,1
30.7620,-31.6370,-175.8113,1
32.2270,-36.3247,-155.2058,1
33.6910,-41.6378,-99.3484,1
35.1560,-37.8221,-120.8832,1
36.6210,-30.6226,-179.8227,1
38.0860,-25.9541,-173.8943,1
39.5510,-25.5967,168.7068,1
41.0160,-23.2093,140.0993,1
42.4800,-22.8348,142.4877,1
43.9450,-21.1752,116.4581,1
45.4100,-19.4624,115.0958,1
46.8750,-17.1083,104.3077,1
48.3400,-16.1433,94.1100,1
49.8050,-12.3683,92.9900,1
51.2700,-10.2786,82.5320,1
52.7340,-8.7993,80.7645,1
54.1990,-6.4550,63.2946,1
55.6640,-5.0021,47.7256,1
57.1290,-4.1688,39.1937,1
58.5940,-3.1393,31.8627,1
60.0590,-1.6625,23.5589,1
61.5230,0.0836,7.6930,1
62.9880,1.1579,-5.4920,1
64.4530,1.8932,-17.1513,1
65.9180,2.5339,-28.7522,1
67.3830,3.1582,-39.6171,1
68.8480,3.8907,-48.4804,1
70.3130,4.4263,-59.3132,1
71.7770,4.9775,-69.9001,1
73.2420,5.5393,-80.1061,1
74.7070,5.9788,-90.4343,1
76.1720,6.2542,-99.1570,1
77.6370,6.4832,-107.4672,1
79.1020,6.6590,-115.6712,1
80.5660,6.7667,-123.8470,1
82.0310,6.7667,-131.9924,1
83.4960,6.7269,-139.6597,1
84.9610,6.6683,-147.1019,1
86.4260,6.5526,-153.4033,1
87.8910,6.4354,-159.4232,1
